feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run03-129	-4.22014847792523	-1.7108058966245	-14.7595241355176	-14.7872904265596	-14.3571395900055	-0.712156734776455	-15.1515319216358	-14.3571395900055	-5.04199002774916	-14.8194306895258
run03-130	-5.6455711509516	-12.8871571375214	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.25461626097446	-15.1515319216358	-15.3571395900055	-0.834475885332947	-14.8194306895258
run03-131	-4.49876146567185	-1.62190969644472	-12.9239773689712	-14.7872904265596	-5.52096534539624	-0.940182123810955	-8.12956150262113	-10.2801211791965	-3.58357087811794	-14.8194306895258
run03-132	-3.57714219651317	-2.31138801220017	-14.7595241355176	-14.7872904265596	-6.55436693842457	-0.629511517264655	-15.1515319216358	-15.3571395900055	-4.12398492359974	-11.4439795426013
run03-133	-5.23769805015443	-2.15284432352419	-14.7595241355176	-14.7872904265596	-11.0174174052978	-0.469077117621687	-9.55798578666054	-12.4324549045767	-5.36816122778052	-14.8194306895258
run03-134	-3.44896427281584	-2.97051406734801	-14.7595241355176	-11.1213896147873	-10.8318829975923	-0.4346945625528	-13.2913146162296	-15.3571395900055	-4.64745842645492	-14.8194306895258
run03-135	-3.3362024028522	-2.52480845262746	-5.22077358421251	-14.7872904265596	-7.82679770046149	-0.596565295946669	-8.17729494754563	-15.3571395900055	-5.03979142379569	-10.2512955289894
run03-136	-3.95774064421119	-2.13831288985301	-11.5776985662885	-14.7872904265596	-7.19522892946613	-0.594094154647328	-8.19522892946613	-9.06312539345879	-4.89520552790685	-14.8194306895258
run03-137	-3.33326321132827	-2.40513644654108	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.729014488945269	-15.1515319216358	-12.7185863875041	-3.20387233336565	-14.8194306895258
run03-138	-3.52050746634394	-1.72934977181414	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.76298054969542	-15.1515319216358	-11.812829099146	-5.52511671959653	-14.8194306895258
run03-139	-6.66051872217458	-2.05758967492398	-14.7595241355176	-14.7872904265596	-8.27285766182704	-0.903824463305485	-12.7158011576758	-15.3571395900055	-2.23753712609405	-14.8194306895258
run03-140	-12.3767584874455	-1.71854700469372	-14.7595241355176	-14.7872904265596	-6.67631876930443	-0.636485814165345	-15.1515319216358	-15.3571395900055	-4.54281425690878	-14.8194306895258
run03-141	-5.69573850996642	-6.59620283641551	-14.7595241355176	-14.7872904265596	-11.7510209454676	-3.48072561899557	-15.1515319216358	-15.3571395900055	-0.1835995646191	-14.8194306895258
run03-142	-3.37702219122555	-1.55467190667929	-14.7595241355176	-13.3067737446429	-11.5698081504767	-0.954914300871657	-15.1515319216358	-12.891736245364	-4.56868148502239	-7.7118271553491
run03-146	-4.07987018731886	-2.57174821982645	-14.7595241355176	-14.7872904265596	-13.4850116504552	-0.611086975981793	-4.61927837960345	-10.7845719323141	-3.70611317444683	-14.8194306895258
run03-147	-7.8038186481084	-6.6494905017171	-14.7595241355176	-14.7872904265596	-15.3571395900055	-3.61718518772227	-15.1515319216358	-15.3571395900055	-0.145491975525338	-14.8194306895258
run03-148	-3.5858041640324	-1.35664426016114	-8.58445773832489	-14.7872904265596	-6.48564000210697	-1.22114018726868	-8.08069132045171	-15.3571395900055	-3.64702901667406	-14.8194306895258
run03-149	-5.07841018418473	-2.58105869642601	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.912668057318792	-15.1515319216358	-9.5958890881899	-1.8847494813916	-14.8194306895258
run03-150	-3.98866386841157	-1.24278065398511	-6.14194051882871	-14.7872904265596	-5.94440328617853	-1.29222947046364	-5.07304543761764	-13.6655024748857	-4.44391535362091	-14.8194306895258
run03-151	-3.51539305160299	-1.56255550975992	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.996414672911616	-13.1990895059095	-15.3571395900055	-3.87086338712177	-7.86280611804507
run03-152	-3.00661774903479	-2.01116024347047	-14.7595241355176	-10.554419564324	-9.73499180996579	-0.826198913115143	-15.1515319216358	-15.3571395900055	-4.66174282793515	-5.49722416274242
run03-153	-5.03237879882655	-1.93025913970922	-14.7595241355176	-14.7872904265596	-10.3837981904233	-0.639988215215051	-11.0004695508718	-12.1000052244227	-3.9773620838713	-11.3223976457592
run03-154	-6.40529527677697	-2.74863350538359	-14.7595241355176	-14.7872904265596	-7.43160655389282	-0.559729654472954	-15.1515319216358	-12.4584066132365	-2.68956065348314	-14.8194306895258
run03-155	-6.4807327439714	-13.8871571375214	-11.3077700318907	-14.7872904265596	-15.3571395900055	-0.877397900250326	-7.84833841325341	-15.3571395900055	-2.91281272723924	-1.70400105058615
run03-156	-2.76290538406554	-2.50720651716809	-14.7595241355176	-10.026969572476	-9.25324542829965	-0.628019057364766	-15.1515319216358	-9.02696957247597	-5.35180926278324	-10.4576039268058
run03-157	-4.47107612732578	-2.04337646317623	-14.7595241355176	-14.7872904265596	-13.1876098215872	-0.592896445383463	-12.1876098215872	-15.3571395900055	-4.3515594665291	-14.8194306895258
run03-158	-3.48680677489242	-1.53760710996864	-13.3951993956662	-14.7872904265596	-15.3571395900055	-0.883817344728473	-15.1515319216358	-15.3571395900055	-5.36177639412872	-14.8194306895258
run03-159	-2.80430375058358	-3.39104531702586	-14.7595241355176	-14.7872904265596	-8.75241700891861	-0.547101851297023	-9.52109146281215	-13.2759789649756	-3.77314716090888	-12.2759789649756
run03-160	-5.90236107793423	-1.83062908355142	-14.7595241355176	-7.32008766474072	-4.87970396959604	-1.13953521037601	-2.93909362898884	-15.3571395900055	-3.86392228032826	-6.80623242924396
run03-163	-3.35198255803582	-1.85493089876762	-13.742151514236	-11.5722265127937	-6.16472268620026	-0.778623203514288	-15.1515319216358	-15.3571395900055	-5.20105489888648	-9.74215151423601
run03-164	-3.31748552900677	-1.63711644589788	-14.7595241355176	-7.67611982552924	-10.1749256825007	-0.833044327518162	-13.6984876385577	-15.3571395900055	-6.59519983014567	-10.5285626371154
run03-165	-4.09527821303198	-2.06493418042798	-14.7595241355176	-6.02550793472781	-6.536547253884	-0.880215333494021	-15.1515319216358	-15.3571395900055	-4.06553086963793	-3.7688082365943
run03-166	-4.24875055397195	-1.35758760723166	-14.7595241355176	-14.7872904265596	-7.55750326011158	-1.23274620453894	-10.4763664973862	-15.3571395900055	-2.99810246580446	-11.0169348787489
run03-167	-3.22423835618385	-2.00052439391414	-14.7595241355176	-14.7872904265596	-6.47189368869259	-0.893084796083488	-11.4260899990795	-15.3571395900055	-3.42671630472893	-14.8194306895258
run03-168	-3.04471011871157	-1.70601937265179	-13.7416776449459	-14.7872904265596	-15.3571395900055	-1.03033331368206	-6.79331041336118	-15.3571395900055	-3.7636822763329	-14.8194306895258
run03-169	-2.69334675193653	-1.74530416032173	-14.7595241355176	-14.7872904265596	-9.08222509074852	-0.972730202891849	-15.1515319216358	-15.3571395900055	-4.80636664455715	-14.8194306895258
run03-170	-2.26029263388338	-2.55440174706761	-12.2344681888046	-14.7872904265596	-8.41003975338807	-0.853466079253686	-9.17557449975104	-15.3571395900055	-3.9968598585756	-13.8194306895258
run03-171	-3.45161972947833	-1.67596583813639	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.06884607937044	-12.6439125439491	-15.3571395900055	-3.0735824429183	-14.8194306895258
run03-172	-3.69344341535167	-1.9869614213145	-11.6009350086947	-6.30081128412571	-5.77565817863985	-0.812298232579704	-6.85140074102546	-12.1155081815245	-4.03945611719371	-14.8194306895258
run03-173	-2.47122787032988	-1.89290894763913	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.96316907881128	-15.1515319216358	-15.3571395900055	-4.7381257114793	-14.8194306895258
run03-174	-4.61197110448149	-1.68693698185281	-14.7595241355176	-8.48376891749841	-6.93849011824974	-0.736356535897087	-5.97929633463762	-11.9100336722005	-5.55909449065408	-14.8194306895258
run03-175	-5.00832486465093	-1.31574164920865	-12.7632123668144	-14.7872904265596	-15.3571395900055	-0.960796977724077	-13.1782498660932	-13.1782498660932	-4.235735360754	-14.8194306895258
run03-176	-3.75628992926759	-1.7972335973034	-14.7595241355176	-14.7872904265596	-12.9380633680764	-0.693996903881579	-15.1515319216358	-15.3571395900055	-5.64344261918477	-14.8194306895258
run03-177	-4.95157572923694	-10.5183908832478	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.669559325214073	-15.1515319216358	-15.3571395900055	-1.56361295824277	-14.8194306895258
run03-178	-4.42307237673808	-1.82663128975307	-11.2292558045852	-14.7872904265596	-4.37693910821758	-0.975838044834727	-9.1340985715449	-11.8813325011649	-3.15292604523588	-14.8194306895258
run03-179	-3.66693529945472	-1.97843912421276	-14.7595241355176	-14.7872904265596	-5.75617245533147	-0.791016090914047	-15.1515319216358	-15.3571395900055	-3.83049077602131	-10.3351111684249
run03-180	-3.82229617990205	-1.71833771982087	-14.7595241355176	-14.7872904265596	-8.29355092650828	-0.737903992611676	-14.1515319216358	-15.3571395900055	-5.47029350985804	-14.8194306895258
run03-181	-2.54456225466956	-3.09245691284198	-14.7595241355176	-11.7357977623573	-10.0195907283579	-0.582245730649178	-15.1515319216358	-15.3571395900055	-4.56730471640811	-14.8194306895258
run03-183	-3.66782314041874	-1.95578073295594	-14.7595241355176	-14.7872904265596	-6.76849793368212	-0.71491299846945	-8.319672120947	-15.3571395900055	-4.57371774355353	-14.8194306895258
run03-184	-2.14352943641656	-1.9535235211026	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.05328402732485	-15.1515319216358	-13.2089455710931	-4.89909030850632	-14.8194306895258
run03-185	-3.28762112567409	-1.72090401383682	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.807976954065674	-15.1515319216358	-11.7033628939642	-5.4578101877085	-14.8194306895258
run03-187	-9.56651921222943	-1.59013011619894	-14.7595241355176	-14.7872904265596	-5.67466801608505	-0.701645251094476	-15.1515319216358	-15.3571395900055	-4.96165715407057	-14.8194306895258
run03-97	-5.8125192667623	-1.94640580905803	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.492810134179939	-15.1515319216358	-15.3571395900055	-6.36821717297827	-14.8194306895258
run03-98	-4.26675164958541	-2.51415453519828	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.623110402457219	-4.85373049590507	-15.3571395900055	-3.48768957194011	-14.8194306895258
