feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
run06-75	0.0168004757656854	0.00542670234909307	0	0	0.640573892358014	0	0	0.337198929527208	0	0
run06-78	0.0954328035796945	0.335133467057553	0	0	0.491899398241012	0	0	0.0775343311217405	0	0
run06-80	0.0176441351888668	0.43870112657389	0	0.00861497680583168	0.498177601060305	0.000662690523525514	0	0.0329688535453943	0.00323061630218688	0
run06-82	0.118022328548644	0.219412166780588	0	0	0.617224880382775	0	0	0.0453406242879927	0	0
run06-83	0.158639642734456	0.279697698385435	0	0	0.543181037444177	0.000137409824802473	0	0.0183442116111302	0	0
run06-85	0.00748146186440678	0.131554555084746	0	0	0.857388771186441	0.000132415254237288	0	0.000993114406779661	0.00244968220338983	0
run06-87	0.0215925509712634	0.0905442286081233	0	0	0.70380478407449	0	0.000321078824851501	0.183737357521271	0	0
run06-90	0.113192756917771	0.225523242141569	0	0.00211648506702203	0.650858352277181	0	0	0.00830916359645685	0	0
run06-93	0.0855610491913182	0.197603285007961	0.000502807340987178	0.00251403670493589	0.684488393530546	0	0	0.0288276208832649	0.000502807340987178	0
run06-94	0.0406256147944127	0.172732638205784	0	0.000196734212079481	0.582431634861302	0.000295101318119221	0.000491835530198702	0.197816250245918	0.00541019083218572	0
run06-95	0.162444526627219	0.246301775147929	0	0.00194156804733728	0.561020710059172	0.000462278106508876	0.00101701183431953	0.0264423076923077	0.000369822485207101	0
